parent;pagetitle;content1;content2;price;picture;picture-big;brand
28;Йогуртница SEVERIN JG 3516;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/jogurtnicy?mfr=1929">SEVERIN</a> </li>                        <li class="tec-char"><span>Автоматическое отключение:</span> Нет </li>                        <li class="tec-char"><span>Тип таймера:</span> механический </li>                        <li class="tec-char"><span>Цвет:</span> белый </li>                        <li class="tec-char"><span>Таймер:</span> Есть </li>                        <li class="tec-char"><span>Дисплей:</span> Нет </li>                        <li class="tec-char"><span>Количество баночек:</span> 7 </li>                        <li class="tec-char"><span>Мощность:</span> 13 Вт</li>                        <li class="tec-char"><span>Объем одной баночки:</span> 150 </li>                        <li class="tec-char"><span>Сигнал окончания программы:</span> Нет </li>                        <li class="tec-char"><span>Отсрочка старта:</span> Нет </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Безопасность и защита</th></tr>						<tr><td class="tthlbl">Автоматическое отключение:</td><td>Нет</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Тип таймера:</td><td>механический</td></tr>						<tr><td class="tthlbl">Цвет:</td><td>белый</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Таймер:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Количество баночек:</td><td>7</td></tr>						<tr><td class="tthlbl">Маркер срока годности на крышках:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>13Вт</td></tr>						<tr><td class="tthlbl">Объем одной баночки:</td><td>150</td></tr>						<tr><td class="tthlbl">Прозрачная крышка:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Световой индикатор:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Сигнал окончания программы:</td><td>Нет</td></tr>						<tr><th colspan="2">Функции</th></tr>						<tr><td class="tthlbl">Отсрочка старта:</td><td>Нет</td></tr>					</table>;1099;assets/images/kuhonnaya-technika/jogurtnicy/Yogurtnica-SEVERIN-JG-3516_STIzNTk0NFR0TDE4MA.jpg;assets/images/kuhonnaya-technika/jogurtnicy/Yogurtnica-SEVERIN-JG-3516_STIzNTk0NFRp.jpg;SEVERIN;
28;Йогуртница BINATONE YM 70;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/jogurtnicy?mfr=303">BINATONE</a> </li>                        <li class="tec-char"><span>Автоматическое отключение:</span> Нет </li>                        <li class="tec-char"><span>Цвет:</span> белый </li>                        <li class="tec-char"><span>Таймер:</span> Нет </li>                        <li class="tec-char"><span>Дисплей:</span> Нет </li>                        <li class="tec-char"><span>Количество баночек:</span> 7 </li>                        <li class="tec-char"><span>Мощность:</span> 15 Вт</li>                        <li class="tec-char"><span>Объем одной баночки:</span> 150 </li>                        <li class="tec-char"><span>Сигнал окончания программы:</span> Нет </li>                        <li class="tec-char"><span>Отсрочка старта:</span> Нет </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Безопасность и защита</th></tr>						<tr><td class="tthlbl">Автоматическое отключение:</td><td>Нет</td></tr>						<tr><th colspan="2">Габариты и вес</th></tr>						<tr><td class="tthlbl">Вес:</td><td>2.2кг</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Цвет:</td><td>белый</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Таймер:</td><td>Нет</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Количество баночек:</td><td>7</td></tr>						<tr><td class="tthlbl">Маркер срока годности на крышках:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>15Вт</td></tr>						<tr><td class="tthlbl">Объем одной баночки:</td><td>150</td></tr>						<tr><td class="tthlbl">Прозрачная крышка:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Световой индикатор:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Сигнал окончания программы:</td><td>Нет</td></tr>						<tr><th colspan="2">Функции</th></tr>						<tr><td class="tthlbl">Отсрочка старта:</td><td>Нет</td></tr>					</table>;1119;assets/images/kuhonnaya-technika/jogurtnicy/Yogurtnica-BINATONE-YM-70_STI0MjkyMlR0TDE4MA.jpg;assets/images/kuhonnaya-technika/jogurtnicy/Yogurtnica-BINATONE-YM-70_STI0MjkyMlRp.jpg;BINATONE;
28;Йогуртница BINATONE YM 70;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/jogurtnicy?mfr=303">BINATONE</a> </li>                        <li class="tec-char"><span>Автоматическое отключение:</span> Нет </li>                        <li class="tec-char"><span>Цвет:</span> белый </li>                        <li class="tec-char"><span>Таймер:</span> Нет </li>                        <li class="tec-char"><span>Дисплей:</span> Нет </li>                        <li class="tec-char"><span>Количество баночек:</span> 7 </li>                        <li class="tec-char"><span>Мощность:</span> 15 Вт</li>                        <li class="tec-char"><span>Объем одной баночки:</span> 150 </li>                        <li class="tec-char"><span>Сигнал окончания программы:</span> Нет </li>                        <li class="tec-char"><span>Отсрочка старта:</span> Нет </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Безопасность и защита</th></tr>						<tr><td class="tthlbl">Автоматическое отключение:</td><td>Нет</td></tr>						<tr><th colspan="2">Габариты и вес</th></tr>						<tr><td class="tthlbl">Вес:</td><td>2.2кг</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Цвет:</td><td>белый</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Таймер:</td><td>Нет</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Количество баночек:</td><td>7</td></tr>						<tr><td class="tthlbl">Маркер срока годности на крышках:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>15Вт</td></tr>						<tr><td class="tthlbl">Объем одной баночки:</td><td>150</td></tr>						<tr><td class="tthlbl">Прозрачная крышка:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Световой индикатор:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Сигнал окончания программы:</td><td>Нет</td></tr>						<tr><th colspan="2">Функции</th></tr>						<tr><td class="tthlbl">Отсрочка старта:</td><td>Нет</td></tr>					</table>;1119;assets/images/kuhonnaya-technika/jogurtnicy/Yogurtnica-BINATONE-YM-70_STI0MjkyMlR0TDE4MA.jpg;assets/images/kuhonnaya-technika/jogurtnicy/Yogurtnica-BINATONE-YM-70_STI0MjkyMlRp.jpg;BINATONE;
28;Йогуртница SEVERIN JG 3519;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/jogurtnicy?mfr=1929">SEVERIN</a> </li>                        <li class="tec-char"><span>Автоматическое отключение:</span> Нет </li>                        <li class="tec-char"><span>Тип таймера:</span> механический </li>                        <li class="tec-char"><span>Цвет:</span> белый </li>                        <li class="tec-char"><span>Таймер:</span> Есть </li>                        <li class="tec-char"><span>Дисплей:</span> Нет </li>                        <li class="tec-char"><span>Количество баночек:</span> 7 </li>                        <li class="tec-char"><span>Мощность:</span> 13 Вт</li>                        <li class="tec-char"><span>Объем одной баночки:</span> 150 </li>                        <li class="tec-char"><span>Сигнал окончания программы:</span> Нет </li>                        <li class="tec-char"><span>Отсрочка старта:</span> Нет </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Безопасность и защита</th></tr>						<tr><td class="tthlbl">Автоматическое отключение:</td><td>Нет</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Тип таймера:</td><td>механический</td></tr>						<tr><td class="tthlbl">Цвет:</td><td>белый</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Таймер:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Количество баночек:</td><td>7</td></tr>						<tr><td class="tthlbl">Маркер срока годности на крышках:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>13Вт</td></tr>						<tr><td class="tthlbl">Объем одной баночки:</td><td>150</td></tr>						<tr><td class="tthlbl">Прозрачная крышка:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Световой индикатор:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Сигнал окончания программы:</td><td>Нет</td></tr>						<tr><th colspan="2">Функции</th></tr>						<tr><td class="tthlbl">Отсрочка старта:</td><td>Нет</td></tr>					</table>;1249;assets/images/kuhonnaya-technika/jogurtnicy/Yogurtnica-SEVERIN-JG-3519_STIzNTk0NlR0TDE4MA.jpg;assets/images/kuhonnaya-technika/jogurtnicy/Yogurtnica-SEVERIN-JG-3519_STIzNTk0NlRp.jpg;SEVERIN;
28;Йогуртница MOULINEX DJC1;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/jogurtnicy?mfr=1454">MOULINEX</a> </li>                        <li class="tec-char"><span>Автоматическое отключение:</span> Есть </li>                        <li class="tec-char"><span>Высота:</span> 18 см</li>                        <li class="tec-char"><span>Глубина:</span> 27 см</li>                        <li class="tec-char"><span>Ширина:</span> 27 см</li>                        <li class="tec-char"><span>Тип таймера:</span> с отключением </li>                        <li class="tec-char"><span>Цвет:</span> белый </li>                        <li class="tec-char"><span>Таймер:</span> Есть </li>                        <li class="tec-char"><span>Дисплей:</span> Нет </li>                        <li class="tec-char"><span>Количество баночек:</span> 7 </li>                        <li class="tec-char"><span>Мощность:</span> 12 Вт</li>                        <li class="tec-char"><span>Объем одной баночки:</span> 150 </li>                        <li class="tec-char"><span>Сигнал окончания программы:</span> Нет </li>                        <li class="tec-char"><span>Отсрочка старта:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Безопасность и защита</th></tr>						<tr><td class="tthlbl">Автоматическое отключение:</td><td>Есть</td></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Высота:</td><td>18см</td></tr>						<tr><td class="tthlbl">Глубина:</td><td>27см</td></tr>						<tr><td class="tthlbl">Ширина:</td><td>27см</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Тип таймера:</td><td>с отключением</td></tr>						<tr><td class="tthlbl">Цвет:</td><td>белый</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Таймер:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Количество баночек:</td><td>7</td></tr>						<tr><td class="tthlbl">Маркер срока годности на крышках:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>12Вт</td></tr>						<tr><td class="tthlbl">Объем одной баночки:</td><td>150</td></tr>						<tr><td class="tthlbl">Прозрачная крышка:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Световой индикатор:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Сигнал окончания программы:</td><td>Нет</td></tr>						<tr><th colspan="2">Функции</th></tr>						<tr><td class="tthlbl">Отсрочка старта:</td><td>Есть</td></tr>					</table>;1649;assets/images/kuhonnaya-technika/jogurtnicy/Yogurtnica-MOULINEX-DJC1_STU2NjA4VHRMMTgw.jpg;assets/images/kuhonnaya-technika/jogurtnicy/Yogurtnica-MOULINEX-DJC1_STU2NjA4VGk.jpg;MOULINEX;
28;Йогуртница MOULINEX YG 230;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/jogurtnicy?mfr=1454">MOULINEX</a> </li>                        <li class="tec-char"><span>Автоматическое отключение:</span> Есть </li>                        <li class="tec-char"><span>Тип таймера:</span> звуковой </li>                        <li class="tec-char"><span>Цвет:</span> белый </li>                        <li class="tec-char"><span>Таймер:</span> Есть </li>                        <li class="tec-char"><span>Дисплей:</span> Есть </li>                        <li class="tec-char"><span>Количество баночек:</span> 7 </li>                        <li class="tec-char"><span>Мощность:</span> 13 Вт</li>                        <li class="tec-char"><span>Объем одной баночки:</span> 140 </li>                        <li class="tec-char"><span>Сигнал окончания программы:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Безопасность и защита</th></tr>						<tr><td class="tthlbl">Автоматическое отключение:</td><td>Есть</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Тип таймера:</td><td>звуковой</td></tr>						<tr><td class="tthlbl">Цвет:</td><td>белый</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Таймер:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Количество баночек:</td><td>7</td></tr>						<tr><td class="tthlbl">Маркер срока годности на крышках:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>13Вт</td></tr>						<tr><td class="tthlbl">Объем одной баночки:</td><td>140</td></tr>						<tr><td class="tthlbl">Прозрачная крышка:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Световой индикатор:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Сигнал окончания программы:</td><td>Есть</td></tr>					</table>;1695;assets/images/kuhonnaya-technika/jogurtnicy/Yogurtnica-MOULINEX-YG-230_STE4NDkwMVR0TDE4MA.jpg;assets/images/kuhonnaya-technika/jogurtnicy/Yogurtnica-MOULINEX-YG-230_STE4NDkwMVRp.jpg;MOULINEX;
28;Йогуртница TEFAL 8872;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/jogurtnicy?mfr=2143">TEFAL</a> </li>                        <li class="tec-char"><span>Автоматическое отключение:</span> Есть </li>                        <li class="tec-char"><span>Цвет:</span> белый </li>                        <li class="tec-char"><span>Таймер:</span> Нет </li>                        <li class="tec-char"><span>Дисплей:</span> Нет </li>                        <li class="tec-char"><span>Количество баночек:</span> 8 </li>                        <li class="tec-char"><span>Объем одной баночки:</span> 100 </li>                        <li class="tec-char"><span>Сигнал окончания программы:</span> Есть </li>                        <li class="tec-char"><span>Отсрочка старта:</span> Нет </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Безопасность и защита</th></tr>						<tr><td class="tthlbl">Автоматическое отключение:</td><td>Есть</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Цвет:</td><td>белый</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Таймер:</td><td>Нет</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Количество баночек:</td><td>8</td></tr>						<tr><td class="tthlbl">Маркер срока годности на крышках:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Объем одной баночки:</td><td>100</td></tr>						<tr><td class="tthlbl">Прозрачная крышка:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Световой индикатор:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Сигнал окончания программы:</td><td>Есть</td></tr>						<tr><th colspan="2">Функции</th></tr>						<tr><td class="tthlbl">Отсрочка старта:</td><td>Нет</td></tr>					</table>;2110;assets/images/kuhonnaya-technika/jogurtnicy/Yogurtnica-TEFAL-8872_STI0NDc0OVR0TDE4MA.jpg;assets/images/kuhonnaya-technika/jogurtnicy/Yogurtnica-TEFAL-8872_STI0NDc0OVRp.jpg;TEFAL;
28;Йогуртница REDMOND RYM-M5401;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/jogurtnicy?mfr=2758">REDMOND</a> </li>                        <li class="tec-char"><span>Автоматическое отключение:</span> Есть </li>                        <li class="tec-char"><span>Тип таймера:</span> электронный </li>                        <li class="tec-char"><span>Цвет:</span> алюминий </li>                        <li class="tec-char"><span>Таймер:</span> Есть </li>                        <li class="tec-char"><span>Дисплей:</span> Есть </li>                        <li class="tec-char"><span>Количество баночек:</span> 8 </li>                        <li class="tec-char"><span>Мощность:</span> 50 Вт</li>                        <li class="tec-char"><span>Объем одной баночки:</span> 180 </li>                        <li class="tec-char"><span>Сигнал окончания программы:</span> Есть </li>                        <li class="tec-char"><span>Отсрочка старта:</span> Нет </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Безопасность и защита</th></tr>						<tr><td class="tthlbl">Автоматическое отключение:</td><td>Есть</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Тип таймера:</td><td>электронный</td></tr>						<tr><td class="tthlbl">Цвет:</td><td>алюминий</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Таймер:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Количество баночек:</td><td>8</td></tr>						<tr><td class="tthlbl">Маркер срока годности на крышках:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>50Вт</td></tr>						<tr><td class="tthlbl">Объем одной баночки:</td><td>180</td></tr>						<tr><td class="tthlbl">Прозрачная крышка:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Световой индикатор:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Сигнал окончания программы:</td><td>Есть</td></tr>						<tr><th colspan="2">Функции</th></tr>						<tr><td class="tthlbl">Отсрочка старта:</td><td>Нет</td></tr>					</table>;2190;assets/images/kuhonnaya-technika/jogurtnicy/Yogurtnica-REDMOND-RYM-M5401_STI1MjY5NVR0TDE4MA.jpg;assets/images/kuhonnaya-technika/jogurtnicy/Yogurtnica-REDMOND-RYM-M5401_STI1MjY5NVRp.jpg;REDMOND;
