parent;pagetitle;content1;content2;price;picture;picture-big;brand;
43;Крышка TEFAL 90222;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/posuda/skovorodki?mfr=2143">TEFAL</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;499;assets/images/kuhonnaya-technika/skovorodki/Kryshka-TEFAL-90222_STI0OTk3NVR0TDE4MA.jpg;assets/images/kuhonnaya-technika/skovorodki/Kryshka-TEFAL-90222_STI0OTk3NVRp.jpg;TEFAL;
43;Крышка BALLARINI 334902.20 (20 см);<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/posuda/skovorodki?mfr=2629">BALLARINI</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;539;assets/images/kuhonnaya-technika/skovorodki/Kryshka-BALLARINI-334902-20-%2820-sm%29_STI0OTkwMVR0TDE4MA.jpg;assets/images/kuhonnaya-technika/skovorodki/Kryshka-BALLARINI-334902-20-%2820-sm%29_STI0OTkwMVRp.jpg;BALLARINI;
43;Крышка BALLARINI 334902.20 (20 см);<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/posuda/skovorodki?mfr=2629">BALLARINI</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;539;assets/images/kuhonnaya-technika/skovorodki/Kryshka-BALLARINI-334902-20-%2820-sm%29_STI0OTkwMVR0TDE4MA.jpg;assets/images/kuhonnaya-technika/skovorodki/Kryshka-BALLARINI-334902-20-%2820-sm%29_STI0OTkwMVRp.jpg;BALLARINI;
43;Крышка стеклянная BALLARINI 334902.24 Cookin 24 см;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/posuda/skovorodki?mfr=2629">BALLARINI</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;589;assets/images/kuhonnaya-technika/skovorodki/Kryshka-steklyannaya-BALLARINI-334902-24-Cookin-24-sm_STI0OTg5OVR0TDE4MA.jpg;assets/images/kuhonnaya-technika/skovorodki/Kryshka-steklyannaya-BALLARINI-334902-24-Cookin-24-sm_STI0OTg5OVRp.jpg;BALLARINI;
43;Сковорода MONETA 716724 Salvaenergia 24 см;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/posuda/skovorodki?mfr=2675">MONETA</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;900;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-MONETA-716724-Salvaenergia-24-sm_STI0NjY1MlR0TDE4MA.jpg;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-MONETA-716724-Salvaenergia-24-sm_STI0NjY1MlRp.jpg;MONETA;
43;Сковорода MONETA 716726 Salvaenergia 26 см;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/posuda/skovorodki?mfr=2675">MONETA</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;1000;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-MONETA-716726-Salvaenergia-26-sm_STI0NjY1MVR0TDE4MA.jpg;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-MONETA-716726-Salvaenergia-26-sm_STI0NjY1MVRp.jpg;MONETA;
43;Сковорода BALLARINI 3C5100.26 ISEO Keramic 26 см;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/posuda/skovorodki?mfr=2629">BALLARINI</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;1149;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-BALLARINI-3C5100-26-ISEO-Keramic-26-sm_STI0OTg2MFR0TDE4MA.jpg;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-BALLARINI-3C5100-26-ISEO-Keramic-26-sm_STI0OTg2MFRp.jpg;BALLARINI;
43;Сковорода TEFAL Elegance Berry Red 28 см;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/posuda/skovorodki?mfr=2143">TEFAL</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;1179;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-TEFAL-Elegance-Berry-Red-28-sm_STI0OTk4N1R0TDE4MA.jpg;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-TEFAL-Elegance-Berry-Red-28-sm_STI0OTk4N1Rp.jpg;TEFAL;
43;Сковорода BALLARINI 9W5F40.24 White Stone 24 см;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/posuda/skovorodki?mfr=2629">BALLARINI</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;1280;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-BALLARINI-9W5F40-24-White-Stone-24-sm_STI0OTg5MVR0TDE4MA.jpg;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-BALLARINI-9W5F40-24-White-Stone-24-sm_STI0OTg5MVRp.jpg;BALLARINI;
43;Сковорода BALLARINI 9W5F40.24 Salento 24 см;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/posuda/skovorodki?mfr=2629">BALLARINI</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;1299;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-BALLARINI-9W5F40-24-Salento-24-sm_STI0OTkxMVR0TDE4MA.jpg;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-BALLARINI-9W5F40-24-Salento-24-sm_STI0OTkxMVRp.jpg;BALLARINI;
43;Сковорода BALLARINI 9W5F40.28 White Stone 28 см;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/posuda/skovorodki?mfr=2629">BALLARINI</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;1480;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-BALLARINI-9W5F40-28-White-Stone-28-sm_STI0OTg5MlR0TDE4MA.jpg;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-BALLARINI-9W5F40-28-White-Stone-28-sm_STI0OTg5MlRp.jpg;BALLARINI;
43;Сковорода-Вок BALLARINI 9C9W40.28 Cookin 28 см;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/posuda/skovorodki?mfr=2629">BALLARINI</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;1750;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-Vok-BALLARINI-9C9W40-28-Cookin-28-sm_STI0OTg4NFR0TDE4MA.jpg;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-Vok-BALLARINI-9C9W40-28-Cookin-28-sm_STI0OTg4NFRp.jpg;BALLARINI;
43;Сковорода-Вок BALLARINI 9C9W40.28 Cookin 28 см;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/posuda/skovorodki?mfr=2629">BALLARINI</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;1750;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-Vok-BALLARINI-9C9W40-28-Cookin-28-sm_STI0OTg4NFR0TDE4MA.jpg;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-Vok-BALLARINI-9C9W40-28-Cookin-28-sm_STI0OTg4NFRp.jpg;BALLARINI;
43;Сковорода глубокая BALLARINI 9D1040.24 Thermopoint Salento 24 см;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/posuda/skovorodki?mfr=2629">BALLARINI</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;1750;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-glubokaya-BALLARINI-9D1040-24-Thermopoint-Salento-24-sm_STI0OTg5OFR0TDE4MA.jpg;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-glubokaya-BALLARINI-9D1040-24-Thermopoint-Salento-24-sm_STI0OTg5OFRp.jpg;BALLARINI;
43;Сковорода MONETA 1120124 Ceramica Deluxe 24 см;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/posuda/skovorodki?mfr=2675">MONETA</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;1789;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-MONETA-1120124-Ceramica-Deluxe-24-sm_STI0OTk3MVR0TDE4MA.jpg;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-MONETA-1120124-Ceramica-Deluxe-24-sm_STI0OTk3MVRp.jpg;MONETA;
43;Сковорода глубокая BALLARINI 9D1040.28 Thermopoint Salento 28 см;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/posuda/skovorodki?mfr=2629">BALLARINI</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;1989;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-glubokaya-BALLARINI-9D1040-28-Thermopoint-Salento-28-sm_STI0OTkwMlR0TDE4MA.jpg;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-glubokaya-BALLARINI-9D1040-28-Thermopoint-Salento-28-sm_STI0OTkwMlRp.jpg;BALLARINI;
43;Сковорода MONETA 5000124 Total White 24 см;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/posuda/skovorodki?mfr=2675">MONETA</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;1989;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-MONETA-5000124-Total-White-24-sm_STI0OTk4MlR0TDE4MA.jpg;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-MONETA-5000124-Total-White-24-sm_STI0OTk4MlRp.jpg;MONETA;
43;Сковорода BALLARINI 9W5F40.28 Salento 28см;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/posuda/skovorodki?mfr=2629">BALLARINI</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;1989;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-BALLARINI-9W5F40-28-Salento-28sm_STI0OTg5NFR0TDE4MA.jpg;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-BALLARINI-9W5F40-28-Salento-28sm_STI0OTg5NFRp.jpg;BALLARINI;
